imdbId,title,releaseYear,releaseDate,genre,actors,directors,sequel,hitFlop
tt0328729,Dil Maange More!!!,2004,31-Dec-04,Romance,Shahid Kapoor | Smita Jaykar | Ayesha Takia | Tulip Joshi,Anant Mahadevan,0,2
tt0328998,Dil Hai Tumhaara,2002,06-Sep-02,Drama | Family | Romance,Arjun Rampal | Preity Zinta | Mahima Chaudhry | Jimmy Shergill,Kundan Shah,0,3
tt0329620,Soch,2002,23-Aug-02,Thriller,Sanjay Kapoor | Raveena Tandon | Aditi Govitrikar | Arbaaz Khan,Sushen Bhatnagar,0,1
tt0330082,Boom,2003,19-Sep-03,Action | Crime | Mystery,Amitabh Bachchan | Jackie Shroff | Gulshan Grover | Padma Lakshmi,Kaizad Gustad,0,2
tt0330217,Dil Ka Rishta,2003,17-Jan-03,Romance,Arjun Rampal | Aishwarya Rai Bachchan | Priyanshu Chatterjee | Rakhee Gulzar,Naresh Malhotra,0,2
tt0330783,Pran Jaaye Par Shaan Na Jaaye,2003,02-May-03,Drama | Comedy,Raveena Tandon | Namrata Shirodkar | Rinke Khanna | Divya Dutta,Sanjay Jha,0,1
tt0330843,Saathiya,2002,20-Dec-02,Drama | Romance,Vivek Oberoi | Rani Mukerji | Tanuja | Satish Shah,Shaad Ali,0,5
tt0331216,Chor Machaaye Shor,2002,23-Aug-02,Action | Comedy | Crime,Bobby Deol | Om Puri | Paresh Rawal | Shekhar Suman,David Dhawan,0,2
tt0331256,Gunaah,2002,16-Oct-02,Crime | Drama,Bipasha Basu | Dino Morea | Ashutosh Rana | Banjara,Amol Shetge,0,2
tt0331421,Akhiyon Se Goli Maare,2002,02-Aug-02,Comedy,Govinda | Raveena Tandon | Kader Khan | Shakti Kapoor,Harmesh Malhotra,0,2
tt0331453,Chhal,2002,09-Aug-02,Action | Thriller | Drama,Kay Kay Menon | Jaya Seal | Naved Aslam | Shri Vallabh Vyas,Hansal Mehta,0,1
tt0331479,Ek Chhotisi Love Story,2002,06-Sep-02,Comedy | Drama | Fantasy,Saroj Bhargava | Manisha Koirala | Aditya Seal | Ranvir Shorey,Shashilal K. Nair,0,6
tt0331639,Shakthi: The Power,2002,20-Sep-02,Action | Drama,Karisma Kapoor | Nana Patekar | Sanjay Kapoor | Jai Gidwani,Krishna Vamshi,0,2
tt0331851,Armaan,2003,16-May-03,Drama | Family | Romance,Amitabh Bachchan | Anil Kapoor | Preity Zinta | Gracy Singh,Honey Irani,0,2
tt0332766,Sur: The Melody of Life,2002,13-Sep-02,Drama | Musical,Lucky Ali | Simone Singh | Achint Kaur | Ehsan Khan,Tanuja Chandra,0,1
tt0335044,Dil Vil Pyar Vyar,2002,18-Oct-02,Romance,Madhavan | Jimmy Shergill | Sanjay Suri | Namrata Shirodkar,Anant Mahadevan,0,2
tt0335592,Pyaasa,2002,11-Oct-02,Romance |Drama |Musical,Aftab Shivdasani | Anang Desai | Dinesh Hingoo | Smita Jaykar,A. Muthu,0,1
tt0337578,Baghban,2003,03-Oct-03,Drama | Romance,Amitabh Bachchan | Hema Malini | Aman Verma | Samir Soni,Ravi Chopra,0,6
tt0337633,Hathyar: Face to Face with Reality,2002,18-Oct-02,Action | Thriller | Crime,Sanjay Dutt | Shilpa Shetty | Sharad S. Kapoor | Shakti Kapoor,Mahesh Manjrekar,1,2
tt0337652,Jeena Sirf Merre Liye,2002,20-Nov-02,Romance,Vijayendra Ghatge | Kareena Kapoor | Tusshar Kapoor | Kader Khan,Talat Jani,0,2
tt0337971,Deewangee,2002,25-Oct-02,Crime | Thriller | Drama,Ajay Devgn | Akshaye Khanna | Urmila Matondkar | Farida Jalal,Anees Bazmee,0,3
tt0337998,Ek Hindustani,2003,N/A,Action,Sunil Shetty | Raveena Tandon | Mohan Joshi | Mohnish Bahl,Tinnu Anand,0,1
tt0338477,Talaash: The Hunt Begins...,2003,03-Jan-03,Action | Adventure | Crime,Rakhee Gulzar | Akshay Kumar | Kareena Kapoor | Pooja Batra,Suneel Darshan,0,2
tt0338566,Yeh Kya Ho Raha Hai?,2002,11-Oct-02,Comedy | Romance,Prashant Chianani | Aamir Ali Malik | Vaibhav Jhalani | Yash Pandit,Hansal Mehta,0,2
tt0338721,Annarth,2002,01-Nov-02,Action | Thriller,Sanjay Dutt | Sunil Shetty | Ashutosh Rana | Preeti Jhangiani,Ravi Dewan,0,1
tt0338959,Ek Se Badhkar Ek,2004,17-Sep-04,Comedy | Thriller,Sunil Shetty | Raveena Tandon | Shekhar Suman | Isha Koppikar,Kundan Shah,0,1
tt0339878,Waah! Tera Kya Kehna,2002,01-Nov-02,Comedy,Govinda | Raveena Tandon | Preeti Jhangiani | Shakti Kapoor,Manoj Agrawal,0,1
tt0340178,Jaal: The Trap,2003,18-Jul-03,Action | Musical | Drama,Sunny Deol | Tabu | Reema Sen | Anupam Kher,Guddu Dhanoa,0,1
tt0340464,Zindagi Khoobsoorat Hai,2002,04-Oct-02,Drama | Family,Gurdas Mann | Tabu | Ashish Vidyarthi | Rajit Kapoor,Manoj Punj,0,1
tt0341266,Bhoot,2003,30-May-03,Horror | Thriller,Ajay Devgn | Urmila Matondkar | Nana Patekar | Rekha,Ram Gopal Varma,0,6
tt0341458,Maseeha,2002,02-Dec-02,Action | Crime | Drama,Sunil Shetty | Namrata Shirodkar | Inder Kumar | Manek Bedi,Partho Ghosh,0,1
